id,job_title,rating,company_name,location,headquarters,size,founded,type_of_ownership,industry,sector,revenue,competitors,hourly,employer_provided,lower_salary,upper_salary,job_location,age,python,spark,aws,excel,sql_,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,degree,City,State,estimated_revenue,avg_salary
0,Data Scientist,3.8,Tecolote Research,"Albuquerque, NM","Goleta, Ca",501 - 1000,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),Unknown,0,0,53000,91000,NM,48.0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,Data Scientist,Other,M,Albuquerque,Nm,500000.0,72000.0
1,Healthcare Data Scientist,3.4,University Of Maryland Medical System,"Linthicum, MD","Baltimore, Md",10000+,1984,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),Unknown,0,0,63000,112000,MD,37.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Other,M,Linthicum,Md,500000.0,87500.0
2,Data Scientist,4.8,Knowbe4,"Clearwater, FL","Clearwater, Fl",501 - 1000,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),Unknown,0,0,80000,90000,FL,11.0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Data Scientist,Other,M,Clearwater,Fl,500000.0,85000.0
3,Data Scientist,3.8,Pnnl,"Richland, WA","Richland, Wa",1001 - 5000,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,56000,97000,WA,56.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Other,Unknown,Richland,Wa,500000.0,76500.0
4,Data Scientist,2.9,Affinity Solutions,"New York, NY","New York, Ny",51 - 200,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",0,0,86000,143000,NY,23.0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Data Scientist,Other,Unknown,New York,Ny,500000.0,114500.0
5,Data Scientist,3.4,Cyrusone,"Dallas, TX","Dallas, Tx",201 - 500,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",0,0,71000,119000,TX,21.0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,Data Scientist,Other,Unknown,Dallas,Tx,500000.0,95000.0
6,Data Scientist,4.1,Clearone Advantage,"Baltimore, MD","Baltimore, Md",501 - 1000,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,Unknown,0,0,54000,93000,MD,13.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Other,Unknown,Baltimore,Md,500000.0,73500.0
7,Data Scientist,3.8,Logic20/20,"San Jose, CA","Seattle, Wa",201 - 500,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),Unknown,0,0,86000,142000,CA,16.0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,Data Scientist,Other,M,San Jose,Ca,500000.0,114000.0
8,Research Scientist,3.3,Rochester Regional Health,"Rochester, NY","Rochester, Ny",10000+,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),Unknown,0,0,38000,84000,NY,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Other,P,Rochester,Ny,500000.0,61000.0
9,Data Scientist,4.6,Unknown,"New York, NY","New York, Ny",51 - 200,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Clicktripz, SmarterTravel",0,0,120000,160000,NY,12.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Other,Unknown,New York,Ny,500000.0,140000.0
